Frame, Time (ms)
    1,     0.000
    2,     7.923
    3,    19.242
    4,    30.194
    5,    41.244
    6,    52.323
    7,    63.392
    8,    74.253
    9,    85.397
   10,    96.264
   11,   107.139
   12,   118.467
   13,   129.352
   14,   140.321
   15,   151.519
   16,   162.558
   17,   173.472
   18,   184.666
   19,   195.557
   20,   206.463
   21,   217.761
   22,   228.666
   23,   239.623
   24,   250.942
   25,   262.000
   26,   272.844
   27,   284.001
   28,   295.278
   29,   306.029
   30,   317.253
   31,   328.192
   32,   339.225
   33,   350.392
   34,   361.337
   35,   372.430
   36,   383.654
   37,   394.754
   38,   405.777
   39,   417.686
   40,   428.088
   41,   439.106
   42,   450.408
   43,   461.298
   44,   472.405
   45,   483.520
   46,   494.500
   47,   505.485
   48,   516.654
   49,   527.617
   50,   539.035
   51,   550.128
   52,   561.428
   53,   572.393
   54,   583.619
   55,   594.584
   56,   605.589
   57,   617.367
   58,   627.785
   59,   638.885
   60,   650.106
   61,   661.105
   62,   672.138
   63,   683.381
   64,   694.393
   65,   705.432
   66,   716.687
   67,   727.691
   68,   738.836
   69,   749.943
   70,   761.007
   71,   772.063
   72,   783.297
   73,   794.314
   74,   805.383
   75,   816.633
   76,   827.710
   77,   839.087
   78,   849.909
   79,   860.859
   80,   872.245
   81,   883.837
   82,   895.173
   83,   906.622
   84,   918.159
   85,   930.894
   86,   942.035
   87,   953.377
   88,   964.603
   89,   975.705
   90,   986.842
   91,   998.125
   92,  1009.284
   93,  1020.555
   94,  1031.724
   95,  1042.745
   96,  1053.968
   97,  1065.023
   98,  1076.130
   99,  1087.135
  100,  1098.232
  101,  1109.295
  102,  1120.512
  103,  1131.547
  104,  1142.657
  105,  1153.897
  106,  1165.059
  107,  1176.205
  108,  1187.311
  109,  1198.430
  110,  1209.903
  111,  1220.907
  112,  1232.112
  113,  1243.311
  114,  1254.508
  115,  1265.734
  116,  1276.921
  117,  1288.034
  118,  1299.229
  119,  1310.435
  120,  1321.755
  121,  1333.065
  122,  1344.136
  123,  1355.867
  124,  1366.998
  125,  1378.190
  126,  1389.292
  127,  1400.655
  128,  1411.781
  129,  1423.032
  130,  1434.427
  131,  1445.538
  132,  1456.776
  133,  1468.038
  134,  1479.197
  135,  1490.263
  136,  1501.528
  137,  1512.830
  138,  1523.996
  139,  1535.331
  140,  1546.421
  141,  1557.605
  142,  1569.138
  143,  1580.131
  144,  1591.218
  145,  1602.643
  146,  1613.743
  147,  1624.870
  148,  1636.141
  149,  1647.283
  150,  1658.310
  151,  1669.675
  152,  1680.933
  153,  1692.002
  154,  1703.244
  155,  1714.536
  156,  1725.636
  157,  1736.982
  158,  1748.109
  159,  1759.269
  160,  1770.493
  161,  1781.687
  162,  1792.747
  163,  1804.613
  164,  1815.256
  165,  1826.389
  166,  1837.629
  167,  1848.785
  168,  1859.897
  169,  1871.012
  170,  1882.105
  171,  1893.149
  172,  1904.459
  173,  1915.593
  174,  1926.769
  175,  1937.879
  176,  1948.992
  177,  1960.165
  178,  1971.390
  179,  1982.502
  180,  1993.759
  181,  2004.929
  182,  2016.112
  183,  2027.213
  184,  2038.817
  185,  2049.412
  186,  2060.544
  187,  2071.730
  188,  2082.844
  189,  2094.016
  190,  2105.084
  191,  2116.320
  192,  2127.552
  193,  2138.656
  194,  2149.904
  195,  2161.007
  196,  2172.195
  197,  2183.420
  198,  2194.486
  199,  2205.579
  200,  2216.835
  201,  2227.972
  202,  2239.102
  203,  2250.214
  204,  2261.332
  205,  2272.489
  206,  2283.643
  207,  2294.706
  208,  2305.837
  209,  2317.080
  210,  2328.216
  211,  2339.397
  212,  2350.724
  213,  2361.888
  214,  2373.015
  215,  2384.314
  216,  2395.359
  217,  2406.517
  218,  2417.893
  219,  2428.991
  220,  2440.157
  221,  2451.436
  222,  2462.530
  223,  2473.724
  224,  2485.073
  225,  2496.257
  226,  2507.473
  227,  2518.884
  228,  2530.187
  229,  2541.277
  230,  2552.615
  231,  2563.807
  232,  2574.972
  233,  2586.324
  234,  2597.493
  235,  2608.670
  236,  2620.102
